word,relevance_value,frequency,lemma,part_of_speech,stopword,plural,exists_in_vocab
temperatura,49.8841,2264,temperatura,NOUN,False,True,True
água,37.6487,1105,água,NOUN,False,True,True
física,37.1432,498,física,PROPN,False,True,True
calor,29.5897,1493,calor,NOUN,False,True,True
paulo,27.8972,263,paulo,PROPN,False,False,True
luz,26.5973,853,luz,PROPN,False,True,True
energia,24.5946,813,energia,NOUN,False,True,True
gás,23.2393,1023,gás,NOUN,False,True,True
pressão,22.5145,857,pressão,NOUN,False,True,True
objeto,21.9415,581,objeto,NOUN,False,True,True
imagem,21.4491,617,imagem,NOUN,False,True,True
líquido,20.4155,587,líquido,NOUN,False,True,True
figura,19.5508,1497,figura,NOUN,False,True,True
capítulo,17.7578,377,capítulo,NOUN,False,True,True
trabalho,17.7263,504,trabalho,NOUN,False,True,True
professor,17.5272,223,professor,NOUN,False,True,True
dilatação,17.222,531,dilatação,NOUN,False,True,True
volume,16.6409,587,volume,NOUN,False,True,True
térmica,16.4815,479,térmico,ADJ,False,False,True
processo,16.4745,344,processo,NOUN,False,True,True
corpo,16.4212,438,corpo,NOUN,False,True,True
lei,15.816,497,lei,NOUN,False,True,True
velocidade,15.3688,341,velocidade,NOUN,False,True,True
ensino,15.3543,189,ensino,PROPN,False,False,True
molécula,15.3419,406,molécula,NOUN,False,True,True
pessoa,15.0081,229,pessoa,NOUN,False,True,True
gelo,14.8097,386,gelo,NOUN,False,False,True
ciência,14.5213,126,ciência,NOUN,False,True,True
unidade,14.3217,364,unidade,NOUN,False,True,True
espelho,14.1807,432,espelho,NOUN,False,True,True
fenômeno,13.9588,207,fenômeno,NOUN,False,True,True
igual,13.6411,359,igual,ADJ,False,True,True
caso,13.6137,233,caso,NOUN,False,True,True
movimento,13.5333,229,movimento,NOUN,False,True,True
constante,13.4213,394,constante,ADJ,False,True,True
editora,12.9848,326,editora,NOUN,False,False,True
ambiente,12.8625,238,ambiente,NOUN,False,True,True
substância,12.5827,321,substância,NOUN,False,True,True
variação,12.5587,375,variação,NOUN,False,True,True
experiência,12.4553,167,experiência,NOUN,False,True,True
material,12.4433,206,material,NOUN,False,True,True
quantidade,12.3775,402,quantidade,NOUN,False,True,True
raio,12.3239,462,raio,NOUN,False,True,True
superfície,12.3216,243,superfície,NOUN,False,True,True
região,12.0518,168,região,NOUN,False,True,True
fonte,12.013,329,fonte,NOUN,False,True,True
onda,11.8366,447,onda,NOUN,False,True,True
som,11.6715,222,som,NOUN,False,True,True
estudo,11.6306,175,estudo,NOUN,False,True,True
diferente,11.5488,199,diferente,ADJ,False,True,True
cor,11.2687,323,cor,NOUN,False,True,True
arquivo,11.2503,317,arquivo,PROPN,False,True,True
comprimento,11.228,255,comprimento,NOUN,False,True,True
físico,11.1936,124,físico,ADJ,False,True,True
fase,11.1779,270,fase,NOUN,False,True,True
seção,11.1769,189,seção,NOUN,False,True,True
efeito,11.1679,148,efeito,NOUN,False,True,True
rio,11.1012,102,rio,NOUN,False,True,True
situação,11.0929,161,situação,NOUN,False,True,True
manual,10.9074,120,manual,PROPN,False,True,True
escala,10.903,468,escala,NOUN,False,True,True
mesma,10.8444,242,mesmo,ADJ,False,False,True
transformação,10.8294,359,transformação,NOUN,False,True,True
cal,10.7577,587,cal,PROPN,False,False,True
quente,10.7564,203,quente,ADJ,False,True,True
estudante,10.6792,144,estudante,NOUN,False,True,True
térmico,10.5482,252,térmico,ADJ,False,True,True
modo,10.4196,162,modo,NOUN,False,True,True
frequência,10.3803,290,frequência,NOUN,False,True,True
aluno,10.3152,130,aluno,PROPN,False,True,True
interior,10.2953,151,interior,NOUN,False,False,True
termômetro,10.091,232,termômetro,NOUN,False,True,True
massa,10.0584,386,massa,NOUN,False,True,True
distância,9.9746,251,distância,NOUN,False,True,True
terra,9.9439,162,terra,PROPN,False,False,True
dia,9.8418,124,dia,NOUN,False,True,True
educação,9.6248,80,educação,PROPN,False,False,True
conhecimento,9.6099,98,conhecimento,NOUN,False,True,True
ondas,9.5918,204,ondas,PROPN,False,True,True
sólido,9.4882,222,sólido,ADJ,False,True,True
fato,9.4617,119,fato,NOUN,False,True,True
máquina,9.4247,258,máquina,NOUN,False,True,True
seguinte,9.3917,145,seguinte,ADJ,False,True,True
conceito,9.3536,124,conceito,NOUN,False,True,True
maneira,9.304,123,maneira,NOUN,False,True,True
formação,9.2658,100,formação,NOUN,False,False,True
pequeno,9.142,124,pequeno,ADJ,False,True,True
livro,9.0972,108,livro,PROPN,False,True,True
inicial,9.0553,204,inicial,ADJ,False,True,True
condição,9.0261,135,condição,NOUN,False,True,True
informação,8.8726,85,informação,NOUN,False,True,True
comum,8.8579,93,comum,ADJ,False,True,True
janeiro,8.7815,76,janeiro,PROPN,False,False,True
gráfico,8.7226,208,gráfico,ADJ,False,True,True
século,8.6623,85,século,NOUN,False,True,True
sol,8.5901,132,sol,NOUN,False,False,True
problema,8.5772,88,problema,NOUN,False,True,True
ano,8.5673,75,ano,NOUN,False,True,True
cientista,8.5031,92,cientista,NOUN,False,True,True
aumento,8.4939,175,aumento,NOUN,False,True,True
disponível,8.3786,65,disponível,ADJ,False,True,True
equação,8.3214,167,equação,NOUN,False,True,True
interna,8.3058,238,interno,ADJ,False,False,True
leitura,8.3036,91,leitura,NOUN,False,True,True
equilíbrio,8.2434,207,equilíbrio,NOUN,False,False,True
uso,8.1942,74,uso,NOUN,False,True,True
moderna,8.1672,80,moderno,ADJ,False,True,True
importante,8.1121,81,importante,ADJ,False,True,True
reflexão,8.0546,152,reflexão,NOUN,False,True,True
lente,7.9567,301,lente,PROPN,False,True,True
ciclo,7.923,207,ciclo,NOUN,False,True,True
fusão,7.8904,253,fusão,NOUN,False,False,True
resultado,7.8792,121,resultado,NOUN,False,True,True
vidro,7.8737,235,vidro,NOUN,False,True,True
termodinâmica,7.8199,208,termodinâmica,PROPN,False,False,True
modelo,7.8036,98,modelo,NOUN,False,True,True
exercício,7.7726,126,exercício,NOUN,False,True,True
específico,7.7298,236,específico,ADJ,False,True,True
diferença,7.6724,102,diferença,NOUN,False,True,True
refração,7.6683,197,refração,NOUN,False,True,True
pesquisa,7.6348,62,pesquisa,NOUN,False,True,True
ideia,7.5811,77,ideia,NOUN,False,True,True
espaço,7.5663,69,espaço,NOUN,False,True,True
teoria,7.5091,103,teoria,NOUN,False,True,True
extremidade,7.4504,129,extremidade,NOUN,False,True,True
ideal,7.4363,181,ideal,ADJ,False,True,True
natureza,7.3526,82,natureza,NOUN,False,True,True
direção,7.3396,125,direção,NOUN,False,True,True
solar,7.3169,119,solar,ADJ,False,True,True
resposta,7.2941,125,resposta,NOUN,False,True,True
texto,7.2868,81,texto,NOUN,False,True,True
médio,7.2766,104,médio,PROPN,False,True,True
mudança,7.1987,108,mudança,NOUN,False,True,True
reprodução,7.1793,199,reprodução,NOUN,False,True,True
aplicação,7.1506,69,aplicação,NOUN,False,True,True
aquecimento,7.133,101,aquecimento,NOUN,False,False,True
função,7.1166,110,função,NOUN,False,True,True
ciências,7.0971,58,ciências,PROPN,False,True,True
tubo,7.0454,124,tubo,NOUN,False,True,True
dispositivo,7.0342,71,dispositivo,NOUN,False,True,True
mundo,7.0336,64,mundo,NOUN,False,False,True
base,7.0029,70,base,NOUN,False,True,True
recipiente,6.9832,261,recipiente,NOUN,False,True,True
fundamental,6.8631,82,fundamental,ADJ,False,True,True
desenvolvimento,6.8351,64,desenvolvimento,NOUN,False,True,True
tabela,6.8054,133,tabela,NOUN,False,True,True
radiação,6.7897,117,radiação,NOUN,False,True,True
estrutura,6.7731,69,estrutura,NOUN,False,True,True
força,6.761,105,força,NOUN,False,True,True
longo,6.7093,75,longo,NOUN,False,True,True
anterior,6.6567,102,anterior,ADJ,False,True,True
luminoso,6.6539,155,luminoso,ADJ,False,True,True
coeficiente,6.4735,210,coeficiente,NOUN,False,True,True
real,6.4149,137,real,ADJ,False,True,True
normal,6.3752,146,normal,ADJ,False,True,True
parede,6.3525,103,parede,NOUN,False,True,True
frio,6.3028,80,frio,ADJ,False,True,True
média,6.2986,99,médio,ADJ,False,True,True
semelhante,6.2952,87,semelhante,ADJ,False,True,True
simples,6.28,70,simples,ADJ,False,True,True
gase,6.2623,166,gase,NOUN,False,True,True
corda,6.219,155,corda,NOUN,False,True,True
período,6.199,101,período,NOUN,False,True,True
sentido,6.1919,82,sentido,NOUN,False,True,True
óptica,6.1523,95,óptica,PROPN,False,False,True
suponha,6.101,96,suponha,PROPN,False,False,True
diagrama,6.0839,172,diagrama,PROPN,False,True,True
fria,6.0669,133,fria,ADJ,False,False,True
mercúrio,6.0651,104,mercúrio,NOUN,False,False,True
olho,6.0429,89,olho,NOUN,False,True,True
superior,6.02,69,superior,ADJ,False,False,True
solução,6.0174,93,solução,NOUN,False,True,True
instrumento,5.9304,62,instrumento,NOUN,False,True,True
necessário,5.9214,65,necessário,ADJ,False,True,True
ebulição,5.9161,147,ebulição,NOUN,False,False,True
comportamento,5.8761,81,comportamento,NOUN,False,True,True
propagação,5.871,107,propagação,NOUN,False,False,True
humano,5.8684,60,humano,ADJ,False,True,True
átomo,5.8344,91,átomo,ADJ,False,True,True
representação,5.8105,112,representação,NOUN,False,True,True
fantasia,5.7783,153,fantasia,NOUN,False,False,True
mão,5.7638,69,mão,NOUN,False,True,True
atividade,5.7046,103,atividade,NOUN,False,True,True
linha,5.7045,82,linha,NOUN,False,True,True
obra,5.7015,40,obra,NOUN,False,True,True
atm,5.7011,253,atm,NOUN,False,True,True
contexto,5.6442,71,contexto,PROPN,False,True,True
ferro,5.6231,110,ferro,NOUN,False,True,True
orifício,5.6002,95,orifício,NOUN,False,True,True
bloco,5.5803,182,bloco,ADJ,False,True,True
feixe,5.5382,206,feixe,NOUN,False,True,True
oscilação,5.5241,108,oscilação,NOUN,False,True,True
dimensão,5.5238,72,dimensão,NOUN,False,True,True
motor,5.5199,62,motor,NOUN,False,True,True
propriedade,5.4858,55,propriedade,ADJ,False,True,True
diverso,5.4821,49,diverso,ADJ,False,True,True
medida,5.476,180,medida,NOUN,False,True,True
característica,5.4715,62,característica,NOUN,False,True,True
eixo,5.4629,148,eixo,NOUN,False,True,True
intensidade,5.4312,77,intensidade,NOUN,False,True,True
intervalo,5.3986,92,intervalo,NOUN,False,True,True
virtude,5.3965,65,virtude,NOUN,False,False,True
plano,5.3887,101,plano,ADJ,False,True,True
escola,5.3869,42,escola,NOUN,False,True,True
densidade,5.3805,105,densidade,NOUN,False,True,True
altura,5.345,79,altura,NOUN,False,True,True
razão,5.3283,56,razão,NOUN,False,True,True
mar,5.317,69,mar,NOUN,False,True,True
barra,5.3126,139,barra,NOUN,False,True,True
conteúdo,5.2295,60,conteúdo,NOUN,False,True,True
total,5.2213,83,total,ADJ,False,True,True
país,5.2194,43,país,NOUN,False,True,True
metal,5.1661,84,metal,NOUN,False,True,True
grandeza,5.1648,92,grandeza,NOUN,False,True,True
atmosfera,5.1595,103,atmosfera,NOUN,False,True,True
aparelho,5.1487,52,aparelho,NOUN,False,True,True
acordo,5.1447,66,acordo,NOUN,False,True,True
fotografia,5.1357,41,fotografia,NOUN,False,True,True
prática,5.1297,42,prática,NOUN,False,True,True
contato,5.1143,73,contato,NOUN,False,False,True
lâmina,5.1073,80,lâmino,NOUN,False,True,True
conjunto,5.0859,54,conjunto,NOUN,False,True,True
visão,5.079,47,visão,NOUN,False,True,True
determine,5.0621,186,determine,VERB,False,True,True
exercícios,5.0539,75,exercícios,NOUN,False,True,True
universo,5.0156,39,universo,NOUN,False,False,True
consequência,5.0042,54,consequência,NOUN,False,True,True
cidade,4.9954,44,cidade,NOUN,False,True,True
experimental,4.9905,54,experimental,ADJ,False,True,True
sala,4.9739,59,sala,NOUN,False,True,True
vida,4.961,46,vida,NOUN,False,True,True
princípio,4.9587,68,princípio,NOUN,False,True,True
ângulo,4.9571,139,ângulo,PROPN,False,True,True
