word,relevance_value,frequency,lemma,part_of_speech,stopword,plural,exists_in_vocab
matemática,44.2359,871,matemática,PROPN,False,True,True
equação,37.07,1937,equação,NOUN,False,True,True
aluno,30.2117,569,aluno,NOUN,False,True,True
professor,27.8045,473,professor,PROPN,False,True,True
capítulo,23.838,540,capítulo,NOUN,False,True,True
ano,23.3035,567,ano,NOUN,False,True,True
seguinte,23.0494,327,seguinte,ADJ,False,True,True
reta,22.8997,1216,reta,NOUN,False,True,True
problema,22.8705,422,problema,NOUN,False,True,True
real,22.4677,765,real,ADJ,False,True,True
paulo,22.3779,218,paulo,PROPN,False,False,True
exercício,21.8063,547,exercício,NOUN,False,True,True
matemático,21.3891,229,matemático,ADJ,False,True,True
ensino,21.2947,405,ensino,PROPN,False,False,True
resolução,20.3445,435,resolução,NOUN,False,True,True
plano,19.5896,347,plano,NOUN,False,True,True
gráfico,18.9877,435,gráfico,NOUN,False,True,True
função,18.9817,493,função,NOUN,False,True,True
médio,17.7999,398,médio,PROPN,False,True,True
educação,17.1247,247,educação,PROPN,False,False,True
complexo,16.8162,494,complexo,ADJ,False,True,True
igual,16.681,380,igual,ADJ,False,True,True
avaliação,16.3229,245,avaliação,NOUN,False,True,True
média,15.8386,387,média,NOUN,False,True,True
conhecimento,15.8237,240,conhecimento,NOUN,False,True,True
pesquisa,15.7201,197,pesquisa,NOUN,False,True,True
estudante,15.5712,247,estudante,NOUN,False,True,True
caso,15.384,344,caso,NOUN,False,True,True
eixo,14.9177,612,eixo,NOUN,False,True,True
solução,14.8307,336,solução,NOUN,False,True,True
circunferência,14.7593,711,circunferência,NOUN,False,True,True
volume,14.7165,291,volume,NOUN,False,True,True
base,14.6262,235,base,NOUN,False,True,True
cálculo,14.5449,289,cálculo,NOUN,False,True,True
centro,14.3035,462,centro,NOUN,False,True,True
conceito,14.1516,207,conceito,NOUN,False,True,True
resultado,14.0964,195,resultado,NOUN,False,True,True
brasil,14.0576,137,brasil,PROPN,False,True,True
importante,13.9759,175,importante,ADJ,False,True,True
livro,13.8078,147,livro,NOUN,False,True,True
informação,13.5822,150,informação,NOUN,False,True,True
resposta,13.5484,214,resposta,NOUN,False,True,True
estudo,13.4468,195,estudo,NOUN,False,True,True
tabela,13.3154,204,tabela,NOUN,False,True,True
grau,13.262,485,grau,NOUN,False,True,True
situação,13.0553,185,situação,NOUN,False,True,True
distância,12.9718,416,distância,NOUN,False,True,True
conjunto,12.8107,262,conjunto,NOUN,False,True,True
