word,relevance_value,frequency,lemma,part_of_speech,stopword,plural,exists_in_vocab
janeiro,7.2724,45,janeiro,PROPN,False,False,True
circular,7.259,183,circular,ADJ,False,True,True
objeto,7.2574,87,objeto,NOUN,False,True,True
resolução,7.1825,92,resolução,NOUN,False,False,True
móvel,7.1648,253,móvel,NOUN,False,True,True
universidade,7.1165,63,universidade,PROPN,False,True,True
exercício,7.0313,82,exercício,NOUN,False,True,True
resultante,6.9794,194,resultante,ADJ,False,True,True
determine,6.9389,310,determine,VERB,False,True,True
equação,6.9365,119,equação,NOUN,False,True,True
equilíbrio,6.9276,108,equilíbrio,NOUN,False,False,True
físico,6.9261,59,físico,ADJ,False,True,True
científico,6.8903,67,científico,NOUN,False,True,True
tecnologia,6.8478,72,tecnologia,NOUN,False,True,True
angular,6.8354,245,angular,ADJ,False,True,True
diferença,6.819,79,diferença,NOUN,False,True,True
queda,6.7999,122,queda,NOUN,False,False,True
história,6.7645,64,história,PROPN,False,True,True
cientista,6.7305,54,cientista,NOUN,False,True,True
linha,6.6907,95,linha,NOUN,False,True,True
tabela,6.6598,95,tabela,NOUN,False,True,True
ilustrações,6.6538,85,ilustrações,PROPN,False,True,True
condição,6.6116,65,condição,NOUN,False,True,True
disponível,6.567,56,disponível,ADJ,False,True,True
minuto,6.5473,99,minuto,NOUN,False,True,True
solução,6.4966,99,solução,NOUN,False,True,True
região,6.4809,50,região,NOUN,False,True,True
medida,6.4623,235,medida,NOUN,False,True,True
mecânica,6.4422,99,mecânico,ADJ,False,False,True
natureza,6.428,66,natureza,NOUN,False,False,True
princípio,6.3779,104,princípio,NOUN,False,True,True
anterior,6.3759,72,anterior,ADJ,False,True,True
órbita,6.322,106,órbita,NOUN,False,True,True
hora,6.3171,95,hora,NOUN,False,True,True
razão,6.2246,62,razão,NOUN,False,True,True
contato,6.1878,69,contato,NOUN,False,True,True
desenvolvimento,6.1818,57,desenvolvimento,NOUN,False,False,True
luz,6.1643,49,luz,NOUN,False,True,True
cinética,6.118,123,cinético,ADJ,False,False,True
expressão,6.117,95,expressão,NOUN,False,True,True
pequeno,5.9559,54,pequeno,ADJ,False,True,True
sinal,5.9155,90,sinal,NOUN,False,True,True
partícula,5.8806,101,partícula,NOUN,False,True,True
natural,5.8575,62,natural,ADJ,False,True,True
comum,5.817,56,comum,ADJ,False,True,True
ângulo,5.7562,123,ângulo,NOUN,False,True,True
científica,5.7426,56,científico,ADJ,False,False,True
vida,5.7392,45,vida,NOUN,False,True,True
segurança,5.7249,48,segurança,NOUN,False,False,True
reta,5.6849,120,reta,NOUN,False,True,True
estação,5.6488,72,estação,PROPN,False,True,True
professor,5.6404,38,professor,NOUN,False,True,True
dado,5.6176,207,dado,NOUN,False,True,True
moderna,5.6041,54,moderno,ADJ,False,False,True
rotação,5.5716,109,rotação,NOUN,False,True,True
fotoarena,5.5627,35,fotoarena,PROPN,False,False,True
gravitacional,5.5057,102,gravitacional,ADJ,False,True,True
correto,5.5026,56,correto,ADJ,False,True,True
conjunto,5.4788,48,conjunto,NOUN,False,False,True
máxima,5.4779,108,grande,ADJ,False,True,True
plano,5.4601,85,plano,NOUN,False,True,True
introdução,5.4553,60,introdução,NOUN,False,False,True
extremidade,5.4511,65,extremidade,NOUN,False,True,True
lata,5.4276,45,lata,NOUN,False,True,True
atleta,5.4172,59,atleta,NOUN,False,True,True
instrumento,5.3938,42,instrumento,NOUN,False,True,True
torno,5.3592,90,torno,NOUN,False,False,True
fato,5.3311,56,fato,NOUN,False,True,True
matemático,5.3014,42,matemático,ADJ,False,True,True
normal,5.2366,77,normal,ADJ,False,True,True
uniformemente,5.1803,144,uniformemente,ADJ,False,False,True
homem,5.1558,40,homem,NOUN,False,True,True
altitude,5.14,53,altitude,NOUN,False,True,True
brasileiro,5.1353,31,brasileiro,ADJ,False,True,True
matemática,5.1289,52,matemática,PROPN,False,False,True
pessoal,5.0967,112,pessoal,ADJ,False,True,True
projeto,5.0875,32,projeto,NOUN,False,True,True
caderno,5.078,46,caderno,NOUN,False,False,True
livre,5.0753,75,livre,ADJ,False,True,True
cálculo,5.0724,52,cálculo,NOUN,False,True,True
laboratório,5.0682,49,laboratório,NOUN,False,True,True
funcionamento,5.0502,47,funcionamento,NOUN,False,False,True
país,5.0376,27,país,NOUN,False,True,True
potência,5.0319,58,potência,NOUN,False,True,True
motor,5.0055,56,motor,ADJ,False,True,True
século,4.998,41,século,NOUN,False,True,True
longo,4.9771,60,longo,ADJ,False,True,True
esfera,4.9716,75,esfera,NOUN,False,True,True
procedimento,4.9661,47,procedimento,PROPN,False,True,True
método,4.9626,51,método,NOUN,False,True,True
leitura,4.9563,47,leitura,NOUN,False,True,True
fluido,4.9345,79,fluido,NOUN,False,True,True
aluno,4.932,39,aluno,NOUN,False,True,True
reprodução,4.9304,144,reprodução,NOUN,False,False,True
parede,4.9252,47,parede,NOUN,False,True,True
estrada,4.9235,59,estrada,NOUN,False,True,True
rede,4.8834,33,rede,NOUN,False,True,True
diverso,4.8717,35,diverso,DET,False,True,True
obra,4.8672,28,obra,PROPN,False,True,True
escola,4.8602,32,escola,NOUN,False,True,True
pista,4.8583,56,pista,NOUN,False,True,True
frequência,4.7736,105,frequência,NOUN,False,True,True
roda,4.7533,140,roda,NOUN,False,True,True
reação,4.725,72,reação,NOUN,False,True,True
mar,4.6581,58,mar,NOUN,False,True,True
sociedade,4.6422,54,sociedade,NOUN,False,True,True
fio,4.6391,61,fio,NOUN,False,True,True
sul,4.6131,25,sul,NOUN,False,False,True
principal,4.6067,39,principal,ADJ,False,True,True
alto,4.5948,48,alto,ADJ,False,True,True
oposto,4.5922,77,oposto,ADJ,False,True,True
identifique,4.556,55,identifique,PROPN,False,True,True
referencial,4.5465,73,referencial,NOUN,False,True,True
simples,4.4993,37,simples,ADJ,False,True,True
trecho,4.4838,69,trecho,NOUN,False,True,True
profundidade,4.4761,34,profundidade,NOUN,False,True,True
balão,4.4759,35,balão,NOUN,False,True,True
construção,4.4698,34,construção,NOUN,False,True,True
brasileira,4.4423,31,brasileira,PROPN,False,False,True
responsável,4.44,33,responsável,ADJ,False,True,True
chão,4.4346,57,chão,NOUN,False,False,True
processo,4.4338,42,processo,NOUN,False,True,True
impulso,4.417,65,impulso,PROPN,False,True,True
problema,4.4063,32,problema,NOUN,False,True,True
equipamento,4.3619,27,equipamento,NOUN,False,True,True
médio,4.3579,39,médio,PROPN,False,True,True
limite,4.3176,41,limite,NOUN,False,True,True
carga,4.3113,40,carga,NOUN,False,True,True
cinemática,4.2973,105,cinemática,PROPN,False,False,True
interior,4.2904,37,interior,NOUN,False,True,True
fevereiro,4.2901,144,fevereiro,NOUN,False,False,True
característica,4.2885,48,característica,NOUN,False,True,True
nasa,4.2863,21,nasa,PROPN,False,False,True
projétil,4.2833,82,projétil,NOUN,False,False,True
lua,4.2802,138,lua,NOUN,False,True,True
coordenação,4.2573,15,coordenação,PROPN,False,False,True
apresentação,4.2472,25,apresentação,NOUN,False,True,True
padrão,4.2463,32,padrão,NOUN,False,True,True
federal,4.2355,33,federal,ADJ,False,True,True
combustível,4.2227,44,combustível,NOUN,False,True,True
bicicleta,4.2198,62,bicicleta,NOUN,False,True,True
representação,4.2193,53,representação,NOUN,False,True,True
propriedade,4.1229,37,propriedade,NOUN,False,True,True
alta,4.1226,38,alto,ADJ,False,True,True
circunferência,4.1196,80,circunferência,ADJ,False,True,True
alternativa,4.1081,61,alternativa,NOUN,False,True,True
coeficiente,4.1074,71,coeficiente,NOUN,False,True,True
foguete,4.0776,45,foguete,NOUN,False,True,True
transformação,4.0704,50,transformação,NOUN,False,True,True
explique,4.0616,37,explique,VERB,False,True,True
descrição,4.0561,68,descrição,NOUN,False,True,True
componente,4.0554,80,componente,NOUN,False,True,True
teoria,4.0326,50,teoria,NOUN,False,True,True
conteúdo,4.0276,36,conteúdo,NOUN,False,True,True
fonte,4.0161,29,fonte,NOUN,False,True,True
kepler,4.0155,65,kepler,PROPN,False,False,True
céu,4.0132,27,céu,NOUN,False,False,True
objetivo,4.0052,33,objetivo,NOUN,False,True,True
passageiro,3.9855,48,passageiro,NOUN,False,True,True
criança,3.9747,45,criança,NOUN,False,True,True
época,3.967,30,época,NOUN,False,True,True
trânsito,3.9661,27,trânsito,NOUN,False,False,True
alimento,3.9612,29,alimento,NOUN,False,True,True
terrestre,3.9608,46,terrestre,ADJ,False,True,True
máquina,3.9532,48,máquina,NOUN,False,True,True
início,3.9182,38,início,NOUN,False,False,True
aparelho,3.9182,33,aparelho,NOUN,False,True,True
ideia,3.908,34,ideia,NOUN,False,True,True
nome,3.8915,31,nome,NOUN,False,True,True
carrinho,3.8807,55,carrinho,NOUN,False,True,True
debate,3.8773,44,debate,NOUN,False,True,True
frente,3.8673,63,frente,ADV,False,True,True
fundamental,3.8518,31,fundamental,NOUN,False,True,True
freio,3.8461,35,freio,NOUN,False,True,True
temperatura,3.8441,34,temperatura,NOUN,False,True,True
ordem,3.8021,63,ordem,NOUN,False,True,True
alteração,3.8012,41,alteração,NOUN,False,True,True
autor,3.7951,27,autor,NOUN,False,True,True
salto,3.7807,26,salto,NOUN,False,True,True
passo,3.7614,34,passo,NOUN,False,True,True
produção,3.7512,28,produção,NOUN,False,False,True
quilômetro,3.744,37,quilômetro,NOUN,False,True,True
mercúrio,3.7413,48,mercúrio,NOUN,False,False,True
