word,relevance_value,frequency,lemma,part_of_speech,stopword,plural,exists_in_vocab
função,45.9509,3164,função,NOUN,False,True,True
ano,32.7324,845,ano,NOUN,False,True,True
gráfico,30.9955,1563,gráfico,ADJ,False,True,True
real,27.1243,980,real,ADJ,False,True,True
aluno,26.5832,558,aluno,NOUN,False,True,True
seguinte,23.6556,509,seguinte,ADJ,False,True,True
matemática,23.254,334,matemática,PROPN,False,False,True
conjunto,22.6576,790,conjunto,NOUN,False,True,True
igual,22.0615,557,igual,ADJ,False,True,True
dia,20.8149,405,dia,NOUN,False,True,True
lei,20.2376,858,lei,NOUN,False,True,True
professor,20.0736,392,professor,NOUN,False,True,True
pessoa,19.8888,318,pessoa,NOUN,False,True,True
capítulo,19.5414,477,capítulo,NOUN,False,True,True
paulo,19.1038,189,paulo,PROPN,False,False,True
imagem,18.1413,759,imagem,NOUN,False,True,True
exercício,18.0847,420,exercício,NOUN,False,True,True
editora,18.0816,721,editora,PROPN,False,False,True
reprodução,17.6613,443,reprodução,NOUN,False,True,True
base,17.4589,431,base,NOUN,False,True,True
triângulo,17.1127,650,triângulo,NOUN,False,True,True
caso,17.0768,424,caso,NOUN,False,True,True
razão,16.8593,474,razão,NOUN,False,True,True
quantidade,16.7843,272,quantidade,PROPN,False,True,True
determine,16.7605,639,determine,VERB,False,True,True
arquivo,16.6784,690,arquivo,NOUN,False,False,True
total,16.3567,289,total,ADJ,False,True,True
altura,16.1178,317,altura,NOUN,False,True,True
ângulo,15.4647,407,ângulo,PROPN,False,True,True
pesquisa,15.1318,175,pesquisa,NOUN,False,True,True
resolução,14.5488,321,resolução,NOUN,False,True,True
tabela,14.4152,302,tabela,PROPN,False,True,True
alternativa,14.1092,454,alternativa,PROPN,False,True,True
solução,13.8981,365,solução,PROPN,False,True,True
hora,13.6281,301,hora,NOUN,False,True,True
equação,13.3371,396,equação,NOUN,False,True,True
sequência,13.3273,398,sequência,NOUN,False,True,True
mesma,13.287,216,mesmo,ADJ,False,False,True
elemento,13.087,368,elemento,NOUN,False,True,True
distância,13.0512,278,distância,NOUN,False,True,True
reta,12.7683,416,reta,NOUN,False,True,True
produto,12.4061,259,produto,NOUN,False,True,True
situação,12.3729,159,situação,NOUN,False,True,True
taxa,12.2385,336,taxa,PROPN,False,True,True
informação,12.1931,135,informação,NOUN,False,True,True
matemático,12.152,110,matemático,ADJ,False,True,True
constante,12.1365,273,constante,ADJ,False,True,True
preço,12.1296,252,preço,NOUN,False,True,True
problema,12.1054,122,problema,NOUN,False,True,True
livro,12.0805,118,livro,PROPN,False,True,True
comprimento,12.0053,192,comprimento,NOUN,False,True,True
empresa,11.8858,186,empresa,NOUN,False,True,True
unidade,11.853,243,unidade,NOUN,False,True,True
resposta,11.8346,314,resposta,NOUN,False,True,True
rio,11.5943,131,rio,PROPN,False,True,True
modo,11.5398,191,modo,NOUN,False,True,True
brasil,11.536,116,brasil,PROPN,False,True,True
medida,11.4768,586,medida,NOUN,False,True,True
banco,11.391,578,banco,PROPN,False,True,True
ilustrações,11.3012,409,ilustrações,PROPN,False,True,True
adilson,11.2661,302,adilson,PROPN,False,False,True
termo,11.2645,575,termo,NOUN,False,True,True
plano,11.1615,239,plano,ADJ,False,True,True
anterior,11.1601,201,anterior,ADJ,False,True,True
estudo,10.9972,150,estudo,NOUN,False,True,True
correspondente,10.8793,288,correspondente,ADJ,False,True,True
necessário,10.8625,150,necessário,ADJ,False,True,True
