word,relevance_value,frequency,lemma,part_of_speech,stopword,plural,exists_in_vocab
animal,40.0895,442,animal,NOUN,False,True,True
água,38.4178,469,água,NOUN,False,True,True
comprimento,30.1763,234,comprimento,NOUN,False,True,True
corpo,29.8884,377,corpo,NOUN,False,True,True
doença,28.5622,278,doença,NOUN,False,True,True
espécie,26.7989,274,espécie,NOUN,False,True,True
célula,24.7788,398,célula,NOUN,False,True,True
alimento,23.2888,219,alimento,NOUN,False,True,True
sangue,22.5066,349,sangue,NOUN,False,True,True
pessoa,20.9448,169,pessoa,NOUN,False,True,True
figura,19.8625,771,figurar,VERB,False,True,True
capítulo,18.5131,246,capítulo,NOUN,False,True,True
caso,18.2174,181,caso,NOUN,False,True,True
planta,17.4269,381,planta,NOUN,False,True,True
região,17.1534,153,região,NOUN,False,True,True
ambiente,17.087,171,ambiente,NOUN,False,True,True
humano,16.8729,156,humano,ADJ,False,True,True
gênero,15.587,108,gênero,ADJ,False,True,True
vaso,15.3736,212,vaso,NOUN,False,True,True
órgão,15.2238,157,órgão,NOUN,False,True,True
organismo,14.8749,138,organismo,NOUN,False,True,True
nervoso,14.6891,195,nervoso,ADJ,False,True,True
vírus,14.5211,169,vírus,NOUN,False,True,True
substância,14.5159,135,substância,NOUN,False,True,True
paulo,14.4888,87,paulo,PROPN,False,False,True
editora,14.4486,187,editora,NOUN,False,False,True
folha,14.2579,163,folha,NOUN,False,True,True
pele,13.9662,133,pele,NOUN,False,True,True
pequeno,13.9532,107,pequeno,ADJ,False,True,True
glândula,13.882,145,glândula,NOUN,False,True,True
inseto,13.7404,121,inseto,NOUN,False,True,True
arquivo,13.527,177,arquivo,PROPN,False,False,True
peixe,13.507,123,peixe,NOUN,False,True,True
caule,13.461,136,caule,PROPN,False,True,True
estrutura,13.3876,125,estrutura,NOUN,False,True,True
bactéria,13.0272,146,bactéria,NOUN,False,True,True
característica,12.6972,142,característica,NOUN,False,True,True
hormônio,12.6918,125,hormônio,NOUN,False,True,True
reprodução,12.3741,129,reprodução,NOUN,False,False,True
intestino,12.304,126,intestino,ADJ,False,True,True
mamífero,12.0533,92,mamífero,NOUN,False,True,True
tubo,12.0468,143,tubo,NOUN,False,True,True
desenvolvimento,12.0218,106,desenvolvimento,NOUN,False,False,True
ovo,11.9828,126,ovo,NOUN,False,True,True
produção,11.8362,98,produção,NOUN,False,False,True
causa,11.7319,93,causa,NOUN,False,True,True
unidade,11.6692,159,unidade,NOUN,False,True,True
olho,11.6618,99,olho,NOUN,False,True,True
coração,11.6422,139,coração,NOUN,False,True,True
importante,11.6034,91,importante,ADJ,False,True,True
nome,11.556,77,nome,NOUN,False,True,True
principal,11.4645,94,principal,ADJ,False,True,True
ano,11.074,86,ano,NOUN,False,True,True
problema,10.921,94,problema,NOUN,False,True,True
vida,10.9119,101,vida,NOUN,False,True,True
tecido,10.5761,113,tecido,NOUN,False,True,True
uso,10.4371,81,uso,NOUN,False,True,True
foto,10.4101,101,foto,PROPN,False,True,True
cor,10.283,198,cor,NOUN,False,True,True
brasil,10.1851,65,brasil,PROPN,False,False,True
crescimento,10.1833,103,crescimento,NOUN,False,False,True
dia,10.0644,101,dia,NOUN,False,True,True
vegetal,9.9932,88,vegetal,ADJ,False,True,True
aumento,9.9234,92,aumento,NOUN,False,False,True
semente,9.787,93,semente,ADJ,False,True,True
pressão,9.7454,103,pressão,NOUN,False,True,True
fungo,9.7129,82,fungo,NOUN,False,True,True
médico,9.6663,73,médico,NOUN,False,True,True
interior,9.557,81,interior,NOUN,False,False,True
comum,9.4734,68,comum,ADJ,False,True,True
responsável,8.9697,65,responsável,ADJ,False,True,True
acervo,8.9692,101,acervo,PROPN,False,False,True
fabio,8.8721,101,fabio,PROPN,False,False,True
proteína,8.8396,82,proteína,NOUN,False,True,True
função,8.8378,76,função,NOUN,False,True,True
elemento,8.8225,154,elemento,NOUN,False,True,True
músculo,8.8175,110,músculo,NOUN,False,True,True
parede,8.7572,84,parede,NOUN,False,True,True
cavidade,8.7506,94,cavidade,NOUN,False,True,True
oxigênio,8.6278,112,oxigênio,ADJ,False,False,True
boca,8.603,105,boca,NOUN,False,False,True
rio,8.5757,54,rio,PROPN,False,True,True
fantasia,8.4901,187,fantasio,ADJ,False,False,True
seguinte,8.4087,58,seguinte,ADJ,False,True,True
luz,8.3981,76,luz,NOUN,False,False,True
ave,8.3757,108,ave,NOUN,False,True,True
protozoário,8.3556,85,protozoário,NOUN,False,True,True
raiz,8.2546,100,raiz,NUM,False,False,True
tratamento,8.2204,57,tratamento,PROPN,False,True,True
filo,8.1425,63,filo,NOUN,False,True,True
quantidade,8.1045,68,quantidade,NOUN,False,True,True
processo,8.0304,60,processo,NOUN,False,True,True
vivo,7.9963,63,vivo,ADJ,False,True,True
efeito,7.996,56,efeito,NOUN,False,True,True
presente,7.9488,53,presente,ADJ,False,True,True
solo,7.9154,62,solo,NOUN,False,True,True
longo,7.9118,61,longo,NOUN,False,True,True
morte,7.9019,62,morte,NOUN,False,True,True
concentração,7.8706,84,concentração,NOUN,False,True,True
indivíduo,7.8423,72,indivíduo,NOUN,False,True,True
líquido,7.8136,68,líquido,NOUN,False,True,True
semelhante,7.7687,54,semelhante,ADJ,False,True,True
presença,7.7504,73,presença,NOUN,False,False,True
diâmetro,7.6949,62,diâmetro,NOUN,False,False,True
medicamento,7.6293,57,medicamento,NOUN,False,True,True
mosquito,7.6287,74,mosquito,NOUN,False,True,True
ilustração,7.6136,135,ilustração,NOUN,False,True,True
anfíbio,7.6123,79,anfíbio,NOUN,False,True,True
perda,7.5002,69,perda,NOUN,False,True,True
cérebro,7.4963,65,cérebro,NOUN,False,False,True
altura,7.4651,47,altura,NOUN,False,False,True
população,7.445,54,população,NOUN,False,True,True
temperatura,7.3534,93,temperatura,NOUN,False,True,True
ingeborg,7.3137,88,ingeborg,PROPN,False,False,True
nervo,7.2898,82,nervo,NOUN,False,True,True
respiratório,7.2626,61,respiratório,ADJ,False,True,True
classe,7.2578,62,classe,NOUN,False,True,True
movimento,7.1931,61,movimento,NOUN,False,True,True
árvore,7.1904,52,árvore,NOUN,False,True,True
produto,7.1808,53,produto,NOUN,False,True,True
digestório,7.1782,83,digestório,ADJ,False,True,True
mesma,7.0798,167,mesmo,ADJ,False,False,True
informação,7.0285,49,informação,NOUN,False,True,True
fecundação,7.0132,85,fecundação,NOUN,False,False,True
ácido,7.0058,58,ácido,NOUN,False,True,True
biologia,6.9768,72,biologia,NOUN,False,True,True
classificação,6.9248,54,classificação,NOUN,False,True,True
base,6.8509,47,base,NOUN,False,False,True
pulmão,6.7852,87,pulmão,NOUN,False,True,True
ação,6.7472,54,ação,NOUN,False,True,True
imagem,6.743,57,imagem,NOUN,False,True,True
flor,6.7069,54,flor,NOUN,False,True,True
externa,6.7019,53,externo,ADJ,False,True,True
enzima,6.6977,55,enzima,NOUN,False,True,True
par,6.6552,62,par,NOUN,False,True,True
capacidade,6.6354,48,capacidade,NOUN,False,False,True
ciclo,6.6261,60,ciclo,NOUN,False,True,True
gás,6.618,81,gás,NOUN,False,False,True
terrestre,6.5392,68,terrestre,NOUN,False,True,True
embrião,6.5166,68,embrião,NOUN,False,True,True
interna,6.4858,64,interna,NOUN,False,False,True
modo,6.4562,47,modo,NOUN,False,False,True
esquema,6.4282,65,esquema,NOUN,False,True,True
correto,6.4065,43,correto,ADJ,False,True,True
janeiro,6.3932,39,janeiro,PROPN,False,False,True
esqueleto,6.3815,54,esqueleto,NOUN,False,True,True
adulto,6.3554,50,adulto,NOUN,False,True,True
formação,6.3397,50,formação,NOUN,False,True,True
fotógrafo,6.3278,74,fotógrafo,NOUN,False,False,True
origem,6.2551,38,origem,NOUN,False,True,True
necessário,6.2421,50,necessário,ADJ,False,True,True
renal,6.1868,61,renal,ADJ,False,True,True
diferente,6.1501,54,diferente,ADJ,False,True,True
conhecimento,6.1414,58,conhecimento,NOUN,False,True,True
condição,6.1069,49,condição,NOUN,False,True,True
capaz,6.0976,45,capaz,ADJ,False,True,True
membrana,6.0823,51,membrana,NOUN,False,True,True
conjunto,6.0626,40,conjunto,NOUN,False,True,True
fisiologia,6.0389,71,fisiologia,NOUN,False,False,True
contato,5.9779,49,contato,NOUN,False,False,True
termo,5.9686,36,termo,NOUN,False,True,True
risco,5.954,46,risco,NOUN,False,True,True
trabalho,5.9529,53,trabalho,VERB,False,True,True
energia,5.9332,54,energia,NOUN,False,False,True
sal,5.8746,71,sal,NOUN,False,True,True
aquático,5.8519,47,aquático,ADJ,False,True,True
período,5.8,46,período,NOUN,False,True,True
rim,5.7986,67,rim,PROPN,False,True,True
universidade,5.743,55,universidade,PROPN,False,True,True
seiva,5.7207,75,seiva,NOUN,False,False,True
mar,5.6986,44,mar,NOUN,False,True,True
droga,5.6878,40,droga,NOUN,False,True,True
verme,5.6861,47,verme,ADJ,False,True,True
veia,5.6811,85,veia,NOUN,False,True,True
consumo,5.625,41,consumo,NOUN,False,False,True
saúde,5.584,48,saúde,NOUN,False,False,True
artéria,5.4867,87,artéria,NOUN,False,True,True
urina,5.4592,64,urina,NOUN,False,False,True
atividade,5.451,69,atividade,NOUN,False,True,True
glicose,5.4446,57,glicose,NOUN,False,False,True
adaptação,5.419,42,adaptação,NOUN,False,True,True
fase,5.4023,44,fase,NOUN,False,True,True
químico,5.4014,41,químico,ADJ,False,True,True
educação,5.3998,23,educação,PROPN,False,False,True
cabeça,5.3729,53,cabeça,NOUN,False,False,True
doente,5.3527,39,doente,ADJ,False,True,True
carne,5.3523,61,carne,NOUN,False,True,True
superfície,5.3488,49,superfície,NOUN,False,True,True
estudo,5.3438,37,estudo,NOUN,False,True,True
celular,5.3162,53,celular,ADJ,False,True,True
dor,5.2877,41,dor,NOUN,False,True,True
natural,5.278,31,natural,PROPN,False,True,True
fato,5.2228,34,fato,NOUN,False,True,True
osso,5.1971,39,osso,NOUN,False,True,True
transporte,5.1677,49,transporte,NOUN,False,True,True
réptel,5.1657,67,réptel,ADJ,False,True,True
animais,5.1468,58,animais,NOUN,False,True,True
circulação,5.132,74,circulação,NOUN,False,True,True
diverso,5.1042,36,diverso,ADJ,False,True,True
