word,relevance_value,frequency,lemma,part_of_speech,stopword,plural,exists_in_vocab
nitroso,2.0748,39,nitroso,ADJ,False,False,True
prevenção,2.0731,28,prevenção,NOUN,False,False,True
crômio,2.0705,36,crômio,NOUN,False,True,True
irritação,2.0663,24,irritação,NOUN,False,True,True
atitudinal,2.0623,92,atitudinal,ADJ,False,True,True
etila,2.0613,49,etila,NOUN,False,False,True
agitação,2.0598,30,agitação,NOUN,False,False,True
concluise,2.057,26,concluise,NOUN,False,False,True
aquático,2.0526,33,aquático,ADJ,False,True,True
desvantagem,2.0522,32,desvantagem,NOUN,False,True,True
estabilidade,2.0511,32,estabilidade,NOUN,False,False,True
caseiro,2.0501,38,caseiro,ADJ,False,True,True
pano,2.0497,27,pano,NOUN,False,True,True
beta,2.0466,57,beta,NOUN,False,True,True
ingrediente,2.0459,39,ingrediente,NOUN,False,True,True
clima,2.0447,42,clima,NOUN,False,False,True
subterrâneo,2.0441,29,subterrâneo,ADJ,False,True,True
acessos,2.0439,23,acessos,PROPN,False,True,True
desagradável,2.0435,31,desagradável,NOUN,False,True,True
ruptura,2.042,39,ruptura,NOUN,False,True,True
semana,2.0419,19,semana,NOUN,False,True,True
eletrosfera,2.0411,84,eletrosfera,NOUN,False,True,True
corrosivo,2.0366,33,corrosivo,ADJ,False,True,True
parque,2.0364,13,parque,PROPN,False,True,True
capa,2.0342,26,capa,NOUN,False,True,True
aparência,2.0324,24,aparência,NOUN,False,False,True
esperase,2.0317,71,esperase,ADV,False,False,True
viagem,2.0299,26,viagem,NOUN,False,True,True
típica,2.0294,28,típico,ADJ,False,True,True
catalítico,2.0291,26,catalítico,ADJ,False,True,True
soda,2.029,61,soda,NOUN,False,False,True
correção,2.0287,25,correção,NOUN,False,True,True
represente,2.0276,95,represente,ADV,False,False,True
geloseco,2.0274,34,geloseco,NOUN,False,False,True
santa,2.0218,38,santa,PROPN,False,False,True
proximidade,2.0207,25,proximidade,NOUN,False,True,True
editora,2.0206,41,editora,PROPN,False,False,True
diluição,2.0197,71,diluição,NOUN,False,True,True
consulta,2.0142,35,consulta,NOUN,False,True,True
causador,2.0137,27,causador,NOUN,False,True,True
batata,2.0131,30,batata,NOUN,False,True,True
chama,2.0123,148,chamar,VERB,False,True,True
grafeno,2.0112,25,grafeno,NOUN,False,False,True
laser,2.0107,20,laser,NOUN,False,True,True
biológica,2.0098,22,biológica,NOUN,False,False,True
flavorizante,2.0085,25,flavorizante,NOUN,False,True,True
sabese,2.007,53,sabese,PROPN,False,False,True
posto,2.0056,38,posto,NOUN,False,True,True
reagentes,2.0034,34,reagentes,PROPN,False,True,True
hidreto,2.0025,36,hidreto,ADJ,False,True,True
minas,2.0012,44,minas,PROPN,False,False,True
parágrafo,2.0007,27,parágrafo,NOUN,False,True,True
esponja,2.0007,24,esponja,PROPN,False,True,True
mental,1.9967,20,mental,ADJ,False,True,True
considerável,1.9908,25,considerável,ADJ,False,True,True
concluí,1.9902,34,concluí,VERB,False,True,True
fenilalanina,1.9901,27,fenilalanina,NOUN,False,False,True
reflexão,1.9898,32,reflexão,NOUN,False,True,True
legislação,1.9877,30,legislação,NOUN,False,True,True
complexa,1.9875,28,complexo,ADJ,False,True,True
garrafa,1.9871,98,garrafa,NOUN,False,True,True
repouso,1.9868,35,repouso,NOUN,False,False,True
análogo,1.9864,28,análogo,ADJ,False,True,True
adicional,1.9818,28,adicional,ADJ,False,True,True
ato,1.9767,29,ato,NOUN,False,True,True
espírito,1.9735,20,espírito,NOUN,False,True,True
adubo,1.9713,35,adubo,NOUN,False,False,True
titulação,1.9699,35,titulação,NOUN,False,True,True
soluções,1.9685,36,soluções,NOUN,False,True,True
costa,1.9634,14,costa,NOUN,False,True,True
pet,1.9611,37,pet,PROPN,False,True,True
genética,1.9579,19,genético,ADJ,False,False,True
sublimação,1.9565,45,sublimação,PROPN,False,False,True
eugenol,1.9564,25,eugenol,NOUN,False,False,True
endereço,1.9561,22,endereço,NOUN,False,True,True
dúvida,1.9523,34,dúvida,NOUN,False,True,True
benzênico,1.9518,38,benzênico,ADJ,False,True,True
congelamento,1.9493,32,congelamento,NOUN,False,False,True
cafeína,1.9492,26,cafeína,NOUN,False,False,True
chá,1.9478,30,chá,NOUN,False,False,True
feijão,1.9473,34,feijão,NOUN,False,False,True
sistemático,1.9462,32,sistemático,ADJ,False,True,True
companhia,1.9458,20,companhia,PROPN,False,True,True
parafuso,1.9442,28,parafuso,NOUN,False,True,True
analogia,1.943,26,analogia,NOUN,False,True,True
pulmão,1.9382,28,pulmão,NOUN,False,True,True
enunciado,1.9324,244,enunciado,NOUN,False,True,True
biblioteca,1.9312,16,biblioteca,PROPN,False,True,True
sabendose,1.9303,25,sabendose,NOUN,False,False,True
desnaturação,1.9301,31,desnaturação,NOUN,False,False,True
geladeira,1.9291,40,geladeiro,VERB,False,True,True
relevância,1.9284,36,relevância,NOUN,False,False,True
engenheiro,1.9284,20,engenheiro,NOUN,False,True,True
soro,1.9281,53,soro,NOUN,False,False,True
lima,1.9262,21,lima,PROPN,False,False,True
católica,1.9253,56,católica,PROPN,False,False,True
deterioração,1.9245,26,deterioração,NOUN,False,False,True
unidades,1.9241,28,unidades,PROPN,False,True,True
dietílico,1.9228,29,dietílico,ADJ,False,False,True
iniciação,1.9218,38,iniciação,PROPN,False,False,True
oportuno,1.9215,30,oportuno,ADJ,False,True,True
febre,1.9211,22,febre,NOUN,False,False,True
estimase,1.9203,21,estimase,NOUN,False,False,True
cebola,1.9203,24,cebola,NOUN,False,True,True
físicoquímico,1.9201,26,físicoquímico,NOUN,False,True,True
terciária,1.9183,44,terciário,ADJ,False,True,True
virtude,1.9157,22,virtude,NOUN,False,True,True
fotográfico,1.9155,30,fotográfico,NOUN,False,True,True
