word,relevance_value,frequency,lemma,part_of_speech,stopword,plural,exists_in_vocab
água,60.4483,1907,água,NOUN,False,True,True
química,49.1121,1232,química,VERB,False,True,True
elemento,41.2734,1416,elemento,NOUN,False,True,True
substância,39.8407,1481,substância,NOUN,False,True,True
químico,39.3034,1079,químico,ADJ,False,True,True
átomo,31.2913,1538,átomo,ADJ,False,True,True
reação,30.288,953,reação,NOUN,False,True,True
material,28.1441,465,material,NOUN,False,True,True
ácido,27.7925,947,ácido,VERB,False,True,True
molécula,25.4471,976,molécula,NOUN,False,True,True
gás,25.4292,710,gás,NOUN,False,True,True
tabela,24.8143,636,tabela,PROPN,False,True,True
massa,23.8843,1224,massa,NOUN,False,True,True
solução,23.5961,727,solução,NOUN,False,True,True
metal,22.859,575,metal,NOUN,False,True,True
livro,22.6746,402,livro,PROPN,False,True,True
processo,22.3212,391,processo,NOUN,False,True,True
energia,20.6779,488,energia,NOUN,False,True,True
capítulo,20.4204,608,capítulo,NOUN,False,True,True
propriedade,20.3355,469,propriedade,NOUN,False,True,True
temperatura,20.2957,679,temperatura,NOUN,False,True,True
hidrogênio,19.748,648,hidrogênio,NOUN,False,True,True
oxigênio,19.5419,591,oxigênio,NOUN,False,True,True
mistura,19.4711,470,mistura,NOUN,False,True,True
carbono,18.9802,419,carbono,NOUN,False,True,True
quantidade,18.9151,413,quantidade,NOUN,False,True,True
caso,18.585,337,caso,NOUN,False,True,True
atômico,18.3934,538,atômico,ADJ,False,True,True
produto,18.3883,338,produto,NOUN,False,True,True
ligação,18.0196,691,ligação,NOUN,False,True,True
pesquisa,17.8405,186,pesquisa,NOUN,False,True,True
nome,17.7391,295,nome,NOUN,False,True,True
sal,17.357,380,sal,NOUN,False,True,True
foto,17.2538,178,foto,NOUN,False,True,True
presente,17.2345,313,presente,ADJ,False,True,True
fonte,17.1121,196,fonte,NOUN,False,True,True
modelo,17.0768,410,modelo,NOUN,False,True,True
líquido,16.1614,385,líquido,ADJ,False,True,True
texto,16.0929,208,texto,NOUN,False,True,True
sódio,15.6647,443,sódio,NOUN,False,False,True
fórmula,15.519,488,fórmula,NOUN,False,True,True
seguinte,15.3651,282,seguinte,ADJ,False,True,True
unidade,15.2733,314,unidade,NOUN,False,True,True
volume,15.2421,438,volume,NOUN,False,True,True
base,14.9723,332,base,NOUN,False,True,True
estudante,14.5856,328,estudante,NOUN,False,True,True
diferente,14.5687,250,diferente,ADJ,False,True,True
periódica,14.5393,374,periódico,ADJ,False,False,True
uso,14.5208,156,uso,NOUN,False,True,True
experimento,14.4729,230,experimento,NOUN,False,True,True
ciência,14.2957,183,ciência,PROPN,False,True,True
estrutura,14.1778,246,estrutura,NOUN,False,True,True
