word,relevance_value,frequency,lemma,part_of_speech,stopword,plural,exists_in_vocab
ácido,47.5652,1452,ácido,NOUN,False,True,True
substância,46.7796,990,substância,NOUN,False,True,True
química,45.7394,902,química,VERB,False,True,True
água,44.2196,876,água,NOUN,False,True,True
reação,35.5293,833,reação,NOUN,False,True,True
orgânico,35.2123,787,orgânico,ADJ,False,True,True
molécula,34.4852,860,molécula,NOUN,False,True,True
carbono,31.5411,892,carbono,NOUN,False,True,True
produto,30.8381,461,produto,NOUN,False,True,True
fórmula,28.7408,701,fórmula,NOUN,False,True,True
material,27.6318,339,material,NOUN,False,True,True
estrutura,27.3456,530,estrutura,PROPN,False,True,True
processo,27.1714,427,processo,NOUN,False,True,True
uso,25.2087,282,uso,NOUN,False,True,True
capítulo,25.1707,545,capítulo,NOUN,False,True,True
nome,24.4323,421,nome,NOUN,False,True,True
átomo,24.4048,779,átomo,ADJ,False,True,True
químico,23.736,371,químico,ADJ,False,True,True
presente,23.7171,375,presente,ADJ,False,True,True
livro,22.5274,352,livro,PROPN,False,True,True
caso,21.8598,349,caso,NOUN,False,True,True
ligação,21.2299,561,ligação,NOUN,False,True,True
álcool,20.7621,360,álcool,NOUN,False,True,True
fonte,20.7288,218,fonte,NOUN,False,True,True
produção,20.0439,264,produção,NOUN,False,True,True
alternativa,20.0112,351,alternativa,NOUN,False,True,True
petróleo,19.8172,295,petróleo,NOUN,False,False,True
cadeia,19.2219,635,cadeia,NOUN,False,True,True
estrutural,19.1708,381,estrutural,NOUN,False,True,True
quantidade,18.8192,263,quantidade,NOUN,False,True,True
hidrogênio,18.364,418,hidrogênio,NOUN,False,True,True
polímero,18.0698,299,polímero,NOUN,False,True,True
ano,17.8089,174,ano,PROPN,False,True,True
seguinte,17.403,261,seguinte,ADJ,False,True,True
gás,17.1226,268,gás,NOUN,False,False,True
composto,16.7865,1011,composto,NOUN,False,True,True
combustível,16.6594,270,combustível,NOUN,False,True,True
solução,16.467,309,solução,NOUN,False,True,True
função,16.3953,280,função,NOUN,False,True,True
oxidação,16.3902,420,oxidação,NOUN,False,True,True
orgânica,16.0339,284,orgânica,PROPN,False,True,True
importante,16.0308,191,importante,ADJ,False,True,True
natural,15.918,213,natural,ADJ,False,True,True
universidade,15.8839,184,universidade,PROPN,False,True,True
molecular,15.7515,324,molecular,ADJ,False,True,True
óleo,15.6341,206,óleo,NOUN,False,True,True
energia,15.5871,251,energia,NOUN,False,True,True
plástico,15.5558,193,plástico,NOUN,False,True,True
pesquisa,15.531,138,pesquisa,PROPN,False,True,True
ambiente,15.418,194,ambiente,PROPN,False,True,True
alimento,15.3748,186,alimento,NOUN,False,True,True
propriedade,15.3123,246,propriedade,NOUN,False,True,True
diferente,15.0566,228,diferente,ADJ,False,True,True
metal,14.9888,236,metal,ADJ,False,True,True
hidrocarboneto,14.8059,282,hidrocarboneto,NOUN,False,True,True
formação,14.7453,209,formação,NOUN,False,False,True
atividade,14.3893,340,atividade,NOUN,False,True,True
efeito,14.3855,178,efeito,NOUN,False,True,True
ação,14.2949,147,ação,NOUN,False,True,True
organismo,14.2469,181,organismo,NOUN,False,True,True
